gauge_id,source,calibration_kge,validation_kge,n_cal_obs,n_val_obs,TT,CFMAX,CFR,CWH,FC,LP,BETA,K0,K1,K2,UZL,PERC,MAXBAS,used_in_analysis,gauge_lat,gauge_lon,area,country,gla_pc_sse,glacier_pass,is_duplicate,dup_partner,include_in_analysis
camelsdk_520069,camelsdk,0.8654791085507085,0.7047161989261749,5113,1619,0.4376654394639665,3.6631710804366815,0.082012007271104,0.0105724007516604,122.19151773772184,0.5800533755972272,5.134584022595261,0.1945438541931679,0.1580359384524673,0.1475710438742219,11.456467987897751,0.090640926712905,4.4971099618294375,True,55.60344,11.9799,64.05110880149125,Denmark,0.0,True,False,,True
camelsdk_520070,camelsdk,0.7099061495397667,0.7230791707206643,5113,1641,-0.7688213482514912,1.94015572450779,0.0419649043865522,0.0019182998556171,359.8538888115662,0.3,4.147970239738128,0.349073632598453,0.0889056739529153,0.15,51.03910597023953,0.4878133646903044,2.3886683203111083,True,55.61023,11.97148,27.317988689867764,Denmark,0.0,True,False,,True
camelsdk_520076,camelsdk,0.8873603440348393,0.8227013926380308,5113,1605,0.5515163222681811,3.679676057706967,0.0623214123907947,0.001116934507555,142.22505546090792,0.7448103636615252,6.0,0.3586873641276574,0.1310544643616725,0.1448405689545168,97.11502192495118,4.265039270399562,2.393880174453933,True,55.59294,11.96768,28.81537560368097,Denmark,0.0,True,False,,True
camelsdk_520088,camelsdk,0.8641082899991082,0.7105105155810503,5113,1575,0.4915777810432926,6.325313120198373,0.0704704657542453,5.711007483689967e-05,217.1387733991941,0.3000211064883596,5.999821121757695,0.2917337925713372,0.1115560612480038,0.1126898351513353,73.471187474844,5.938845848530687,1.6587648430305306,True,55.59546,11.93415,20.651515885440546,Denmark,0.0,True,False,,True
camelsdk_520089,camelsdk,0.5956027508770266,0.4889002273534215,5113,1565,-0.4827057783021471,2.5309920416711584,0.0773819763468716,0.0,500.0,0.3000081861306303,4.747405337208374,0.1069237314293011,0.0722769670807968,0.1033136225471716,23.01538917791548,3.721951829887094,3.0046195367077684,True,55.60394,11.98594,78.72969712057082,Denmark,0.0,True,False,,False
camelsdk_520198,camelsdk,0.5748760483310745,0.57473385953887,5113,6209,0.4974190333710017,6.511332341671752,0.007592074249353,0.0295324510338038,500.0,0.3,3.4958487374525307,0.1418941467322574,0.1434451235708099,0.0656358015233726,12.918484321883897,1.5017960788806544,2.016121464216318,True,55.88165,12.25968,31.89313848211506,Denmark,0.0,True,False,,True
camelsdk_520199,camelsdk,0.4036102163788179,0.285250594023391,1770,6209,-1.915792349653192,10.0,0.0884675396583027,0.1783992344740305,496.32895953887487,0.319138049533089,5.159190888335246,0.05,0.1807386461774749,0.001,17.92739900066958,1.185420451688605,2.828843934334885,False,55.69316,12.13825,26.933725852960343,Denmark,0.0,True,False,,False
camelsdk_530010,camelsdk,0.4723574854546464,0.6043430165578508,5113,6209,0.0558894989697531,2.768265516732055,0.0482043053779967,0.0932779765139194,500.0,0.3006869959413428,5.781769643407421,0.0970101419497528,0.2670240234802827,0.1469292724743184,43.16617171303824,2.085468110290088,1.8870640350398864,True,55.61088,12.31569,25.39046842953238,Denmark,0.0,True,False,,False
camelsdk_530011,camelsdk,0.6925179899885701,0.6657687639236767,5113,6209,-0.2397984731792083,1.776389850163329,0.038097825489488,0.0766254824582182,457.1514436220684,0.7210186518702126,4.570720241223267,0.4021996361426205,0.2282767058761422,0.1432030037218831,69.89864819737748,0.3679854706224162,1.2931150074473514,True,55.61982,12.3734,51.59288271942006,Denmark,0.0,True,False,,True
camelsdk_530028,camelsdk,0.6116661159793597,0.6201347102630919,4552,6209,-1.2818234327029852,1.140982560032459,0.0051006893004599,0.0079037043960076,500.0,0.5986597175124437,4.750044582827879,0.4500487220906481,0.2997655608049842,0.1213821791936526,50.75520578238347,0.0,1.4484841385262444,True,55.66047,12.47782,53.23170465706107,Denmark,0.0,True,False,,True
camelsdk_530042,camelsdk,0.6262756868646968,0.7227033100857158,4383,1847,-0.3089228501546309,1.353897637835832,0.0450794993081594,0.0,500.0,0.4973118033574756,3.72586286142377,0.1623247827127311,0.2999897692850877,0.1435397710811997,99.82558089248408,0.003021980474204,1.3092780846136651,True,55.70684,12.45406,44.54665754567247,Denmark,0.0,True,False,,True
camelsdk_530054,camelsdk,0.7908409773936386,0.6319149944918567,2827,1575,0.8236579208193039,6.161557418127008,0.0770861099748976,0.0970564955962462,176.10392222964282,0.3036178158687427,5.993987671846375,0.3172544372018817,0.2890326486340191,0.1433322380690714,7.063536280917688,0.14120654359776,2.673140301816953,True,55.51382,12.13661,24.36933275385125,Denmark,0.0,True,False,,True
camelsdk_530095,camelsdk,-0.270493226951777,-0.4619686467452675,1096,1096,-0.8295399418372911,9.884133890729968,0.0925240052388653,0.0016944530073865,499.9377741765286,0.300282555582846,5.933870036242159,0.2706783814689656,0.3,0.001,72.44233312547325,2.3082405300045186,1.8309029113742887,False,55.65166,12.32927,19.95506066368394,Denmark,0.0,True,False,,False
camelsdk_540002,camelsdk,0.7672080350289388,0.7022975687241004,4748,5844,-0.0650869898085478,3.33403907009311,0.0745200823260111,0.0070650724441418,351.2347076722265,0.4137042427584437,5.13891574466262,0.05,0.1265545243367364,0.1496486391948348,90.84404470570767,4.948086418231964,1.8440854885127904,True,55.22272,11.39517,13.913485792853182,Denmark,0.0,True,False,,True
camelsdk_550015,camelsdk,0.9403650979461676,0.8472627422067701,5113,6209,-0.9574004326017592,7.061716745322244,0.0029767988593289,0.190498122051636,251.4398323747477,0.5734307979686368,5.983829605913894,0.4317111054248905,0.0103822758736704,0.0262999047575405,45.26809536144216,2.624176835730398,2.4734076971121945,True,55.56732,11.25921,417.2367396917344,Denmark,0.0,True,False,,True
camelsdk_550017,camelsdk,0.91103697901185,0.8448119779849872,5113,6209,-0.7318144707100893,2.555927345782624,0.0014367967265555,0.0,190.536828429396,0.6177917398957816,5.999025449538284,0.0616538313091607,0.0387608029649923,0.1006078453619238,55.83649036540885,5.567928036441559,1.828006290434614,True,55.56625,11.64239,111.08326175307722,Denmark,0.0,True,False,,True
