response,country,n,r2_global,r2_local,r2_local_debiased,ss_local,sse,sse_debiased,rho_within,mean_bias
gain_Qsim,Denmark,263,-0.2555216481567295,-1.0518366374965575,-0.30011169855045705,17.104573966267168,35.095791532756785,22.237856712265536,-0.3363162622591729,0.22110966964262876
gain_Qsim,Great Britain,543,-0.07370329104159845,-2.396387586960653,-1.4472954409284506,18.191742135120666,61.78620717291292,44.520567589826804,-0.4184811999860515,-0.17831645459659845
gain_Qsim,Czech Republic,14,-0.36360928396751624,-0.5178467776460638,-0.07907655726706997,1.9313413341285863,2.9314802205417245,2.0840651577390648,-0.5522555597041,-0.2460277369384337
gain_Qsim,Estonia,36,-0.18416583390564867,-1.5193065734226514,0.047427250892173034,5.032828123704497,12.679236974955128,4.794134921584379,0.15546975546975547,-0.46800706468346376
gain_Qsim,Spain,46,-0.4669532623260002,-0.5849303292423378,-0.06456821630573417,3.93606458923834,6.238388145340629,4.190209259029622,-0.16534073388837497,0.21101096645265324
gain_Qsim,Belgium,34,0.16386719792311943,-0.43956601294707687,-0.4207723684452829,1.747188518197501,2.515193209008488,2.482357169119868,-0.2571428571428571,0.03107677394899704
gain_Qsim,Sweden,106,0.337534495804952,0.32446213061343077,0.45097110482183156,20.319218945916415,13.726401874323587,11.155838328759797,0.8119122651920494,-0.1557260398470688
gain_Qsim,Austria,400,0.48545189199270455,0.16808864330536877,0.32013624475200253,59.56773450016218,49.55507482325551,40.49794366889596,0.6940624003900024,0.15047533979326616
gain_Qsim,Germany,329,-0.19592022662639152,-0.2682487875341639,-0.1402684267315666,38.63824295901816,49.002904785225226,44.05796851055166,0.08039126833912412,0.12259772201299994
gain_Qsim,Iceland,4,-0.9882794420799059,-18.557872129882384,0.4838641019638922,0.07111017673652976,1.390763743746386,0.036702514929415134,0.7999999999999999,0.5818206830323607
gain_Qsim,Ireland,39,0.852976266586091,-2.5707534765328206,-0.08753506326182459,0.17474829386064594,0.6239830778210804,0.19004489681863349,0.10870445344129555,-0.10548279492743722
gain_Qsim,Norway,128,0.29173219632103353,-0.19581887581809077,0.24023444437404962,12.988247663215265,15.531591719473024,9.868023202450198,0.4701290972349387,-0.21034882704507965
gain_Qsim,Finland,116,0.2903159726244249,0.11757646662113075,0.1692884624261647,12.514846472631548,11.043395044073609,10.396227355780242,0.56870795371545,-0.07469291663626793
gain_Qsim,Luxembourg,11,0.7691454435182457,-8.308964650459668,-0.2726512662879754,0.03291170608560976,0.3063739085372596,0.04188512442554893,-0.41818181818181827,-0.1550626806141517
gain_Qsim,Switzerland,65,0.7690092990743093,0.3531870629272985,0.6236966675152738,5.105495499044218,3.3023005389482485,1.9212149702761099,0.7283653846153847,0.14576512026978086
gain_Qsim,Liechtenstein,1,0.4075205967999628,,,0.0,0.221717989594972,0.0,,0.47086939759870994
gain_Qobs,Denmark,195,-3.4123092905832575,-4.024509810947451,-0.7836761352841739,14.69837656093183,73.85213723540203,26.217143499154375,-0.47159869539836813,0.4942489445211233
gain_Qobs,Great Britain,532,-0.10810787839661096,-1.5408491484564086,-0.23264724274140858,110.72776646456646,281.3425511319738,136.48827602746246,-0.47992752893633295,-0.5218069298130882
gain_Qobs,Czech Republic,14,-0.578316686148447,-0.5792449768894865,0.04051701533261187,1.1676630111121238,1.8440259449984742,1.1203527909875701,0.2838285545889597,-0.22735641528711575
gain_Qobs,Estonia,36,-0.6741932178726451,-1.6599687770697087,0.12421772922419383,6.941170985735585,18.46329809835883,6.078954487730652,0.14285714285714285,-0.5865232687112009
gain_Qobs,Spain,44,-0.3244213395755917,-0.6285647680803164,0.32458450354400825,4.362104960426741,7.1039704532193735,2.946233287439772,0.6770965468639887,0.3073988069186198
gain_Qobs,Belgium,29,0.12553779061014392,-0.13980250433887953,-0.13914872627681785,7.8669163188255515,8.966730921621762,8.96158770431644,-0.4615763546798029,-0.013317369142333321
