response,predictor,beta_std,se_clustered,t,p_wild_bootstrap,q_bh
gain_Qsim,aridity,-0.012580280103697574,0.033984333705328044,-0.3701788068813968,0.7445,0.7645
gain_Qsim,frac_snow,-0.17891965731165593,0.072160666170829,-2.4794623831228475,0.189,0.567
gain_Qsim,slope_l,-0.05218194100147852,0.1063813528480613,-0.4905177421084986,0.717,0.7645
gain_Qsim,clay_pc,0.017402853261596723,0.06204999218113976,0.28046503552801993,0.7645,0.7645
gain_Qsim,gwt_l,-0.054636735923114334,0.048449102602823445,-1.1277140955739868,0.3245,0.649
gain_Qsim,karst_pc,-0.046897478677687704,0.014039193110479721,-3.3404682383548474,0.165,0.567
gain_Qobs,aridity,-0.051785201709152684,0.05258679509817414,-0.9847567552362725,0.4395,0.65925
gain_Qobs,frac_snow,-0.3235439535443146,0.12932485302587762,-2.5017925477910588,0.149,0.5835
gain_Qobs,slope_l,0.12787170583139335,0.15603811129058223,0.8194902179587655,0.701,0.701
gain_Qobs,clay_pc,-0.05926020215162273,0.07606018967723974,-0.7791224608181034,0.6,0.701
gain_Qobs,gwt_l,-0.14497806888666478,0.07932308111222075,-1.8276908417306679,0.1945,0.5835
gain_Qobs,karst_pc,-0.053027063258918344,0.034243168461878616,-1.5485442977612016,0.3245,0.649
log_tau,aridity,0.18583187594595652,0.09704206707456066,1.9149620525207454,0.116,0.232
log_tau,frac_snow,0.27253171829143796,0.20931445137034196,1.3020205557104374,0.7165,0.8598000000000001
log_tau,slope_l,-0.5449459873072187,0.2662777368332096,-2.0465322928914653,0.242,0.363
log_tau,clay_pc,0.0005871820675567383,0.16994121689372285,0.003455206913835081,0.996,0.996
log_tau,gwt_l,0.3073613486381982,0.1731565177193297,1.7750492599787773,0.054,0.162
log_tau,karst_pc,0.17177652376190333,0.08375080951530602,2.051043145206973,0.003,0.018000000000000002
logit_ac1,aridity,0.3621824969999262,0.12224513519028249,2.962755912013723,0.027,0.058
logit_ac1,frac_snow,0.7010928247900967,0.22072907665192773,3.176259491610453,0.049,0.063
logit_ac1,slope_l,-0.7549393480883022,0.181680469264512,-4.155313728242147,0.0185,0.058
logit_ac1,clay_pc,-0.11888472374387436,0.14733516058190715,-0.8068998823792878,0.505,0.505
logit_ac1,gwt_l,0.3079808389727826,0.12785400599272703,2.408847783700278,0.0525,0.063
logit_ac1,karst_pc,0.229530308117711,0.11488936533395645,1.9978377237137677,0.029,0.058
log_tau_obs,aridity,0.21002147435983864,0.08813655289064921,2.3829100126075016,0.042,0.084
log_tau_obs,frac_snow,0.10449143133456135,0.14402089015511207,0.7255296868532262,0.827,0.827
log_tau_obs,slope_l,-0.3589807249574417,0.1479572267136257,-2.426246645270368,0.109,0.1635
log_tau_obs,clay_pc,-0.11248834323674123,0.12464280500970788,-0.9024856527256427,0.4585,0.5502
log_tau_obs,gwt_l,0.18339548542521128,0.11126095700860057,1.6483364008008186,0.038,0.084
log_tau_obs,karst_pc,0.17931950528086185,0.09475514842063773,1.8924513155192944,0.002,0.012
logit_ac1_obs,aridity,0.32619105371962837,0.06532290342202852,4.993517382597365,0.003,0.009000000000000001
logit_ac1_obs,frac_snow,0.4313894332121274,0.11470196756851272,3.7609593135745807,0.0415,0.06225
logit_ac1_obs,slope_l,-0.490172124471739,0.1028000423075939,-4.768209365177758,0.0005,0.003
logit_ac1_obs,clay_pc,-0.1860288774882309,0.09924552280666854,-1.874430928744437,0.026,0.052
logit_ac1_obs,gwt_l,0.09431828122971499,0.061179172534573174,1.5416730452902816,0.1815,0.1815
logit_ac1_obs,karst_pc,0.18427165743499935,0.09259577043843704,1.9900655997836711,0.0565,0.0678
reg_lag,aridity,0.05782798782093559,0.1367107991852394,0.4229950242817339,0.778,0.8845
reg_lag,frac_snow,0.7652985418105707,0.29291060593661994,2.6127375598552622,0.108,0.648
reg_lag,slope_l,0.08305481613366163,0.4330997982671938,0.19176830944267104,0.8845,0.8845
reg_lag,clay_pc,0.14513178610383284,0.20859975649969734,0.6957428356539976,0.6055,0.8845
reg_lag,gwt_l,0.2909073309851975,0.3300258205126054,0.8814683970283055,0.423,0.8845
reg_lag,karst_pc,0.026843128957781983,0.1000816194424282,0.2682123761318975,0.858,0.8845
logit_late,aridity,0.005638774459078406,0.1968390012628353,0.028646632135412332,0.9845,0.9845
logit_late,frac_snow,1.1081066961395316,0.4248421990119397,2.6082783177298956,0.0665,0.399
logit_late,slope_l,0.3182873902175606,0.5063496936413314,0.6285920465926396,0.6275,0.9305999999999999
logit_late,clay_pc,0.11731289603040843,0.24854927355567547,0.47199050052395397,0.7755,0.9305999999999999
logit_late,gwt_l,0.3209118643391167,0.35248445888059643,0.9104284068530384,0.405,0.81
logit_late,karst_pc,0.1645548020919361,0.06995044737598363,2.352448172453481,0.245,0.735
reg_lag_obs,aridity,0.09295780829207019,0.1465204096663955,0.6344359021635337,0.6495,0.8045
reg_lag_obs,frac_snow,0.6435162915061012,0.2943883768364358,2.185943271339287,0.1575,0.47250000000000003
reg_lag_obs,slope_l,0.23446637216827868,0.44540869618210654,0.5264072618654407,0.6805,0.8045
reg_lag_obs,clay_pc,0.4473923354010906,0.2485577314081233,1.7999534066654626,0.1395,0.47250000000000003
reg_lag_obs,gwt_l,0.27742078028381567,0.3025907882039694,0.916818327254605,0.431,0.8045
reg_lag_obs,karst_pc,-0.05094427899186608,0.1198862698684875,-0.42493839409425943,0.8045,0.8045
logit_late_obs,aridity,0.1619538718645495,0.23334046709183656,0.6940668023982689,0.6495,0.6495
logit_late_obs,frac_snow,1.1038921719128771,0.5077850814459675,2.1739358091605148,0.1515,0.6495
logit_late_obs,slope_l,0.4600729879076555,0.5479768692257683,0.8395846864078197,0.545,0.6495
logit_late_obs,clay_pc,0.43096601915649874,0.42222133106404686,1.0207111470905894,0.417,0.6495
logit_late_obs,gwt_l,0.21889165374000666,0.3379786825059549,0.6476492899404979,0.5545,0.6495
logit_late_obs,karst_pc,-0.1177944716621675,0.18183079867885743,-0.6478246398191957,0.415,0.6495
