gauge_id,area,equiv_radius_km,n_gauges_inside,is_container,independent
camelsdk_100006,41.64071267801746,3.6406936857076655,0,False,True
camelsdk_100009,106.6593245868324,5.8267244202617485,0,False,True
camelsdk_100010,99.67305313222434,5.632665283692015,0,False,True
camelsdk_100011,27.933881935264,2.981883763577201,0,False,True
camelsdk_100013,52.41911765800485,4.084791717526643,0,False,True
camelsdk_100014,90.03643371427124,5.353455609976055,0,False,True
camelsdk_110011,234.8496415358195,8.646095226607832,0,False,True
camelsdk_110016,107.7795677347659,5.8572435444150255,0,False,True
camelsdk_120001,15.16768662511496,2.1972766333149196,0,False,True
camelsdk_130005,114.80389697748426,6.0450984591120305,0,False,True
camelsdk_130008,81.94085364668612,5.107111101011932,0,False,True
camelsdk_130011,11.3855559022563,1.9037161036736516,0,False,True
camelsdk_130019,115.79431014797748,6.071117992918048,0,False,True
camelsdk_140016,317.46044022911803,10.0524025286091,2,True,False
camelsdk_140022,212.38674665714584,8.222213884069284,0,False,True
camelsdk_150002,95.8859734277804,5.524622456640703,0,False,True
camelsdk_150032,81.10973160208663,5.081144500470145,0,False,True
camelsdk_150042,31.2205926663999,3.1524313312477155,0,False,True
camelsdk_150046,62.29211108917944,4.452886119242749,0,False,True
camelsdk_150073,124.4737632713884,6.2945396511408,0,False,True
camelsdk_160023,17.016543433992847,2.327344839879942,0,False,True
camelsdk_160024,24.07899219827613,2.7684980162632695,0,False,True
camelsdk_160053,34.15039619757992,3.2970302890302694,0,False,True
camelsdk_160054,75.15862873376327,4.891189482935001,0,False,True
camelsdk_160070,30.62497181193086,3.122215766380906,0,False,True
camelsdk_160168,21.312675611963773,2.6046180810852557,0,False,True
camelsdk_160207,24.137331648591854,2.7718497956858488,1,True,False
camelsdk_170007,217.19927857424588,8.314846820126613,0,False,True
camelsdk_180077,554.1328585481799,13.281037878688913,3,True,False
camelsdk_190012,109.24721298931242,5.896988039035214,0,False,True
camelsdk_190016,64.03894271651956,4.514889651744063,0,False,True
camelsdk_200021,79.90964474391726,5.043414510371267,0,False,True
camelsdk_200024,624.2173910100518,14.095906025735003,3,True,False
camelsdk_200026,516.3273376652186,12.819988146866415,0,False,True
camelsdk_20005,122.81754985468234,6.252522716121547,0,False,True
camelsdk_20006,107.69121283362357,5.854842243823919,0,False,True
camelsdk_210030,32.07266167237307,3.1951596652662446,0,False,True
camelsdk_210062,121.48375561098352,6.2184789475973625,0,False,True
camelsdk_210068,16.15613003241968,2.267742470341381,0,False,True
camelsdk_210077,80.07429742976376,5.048607778498455,0,False,True
camelsdk_210084,1279.4559921083348,20.180770332798822,6,True,False
camelsdk_210085,187.69523812587605,7.729505151372052,1,True,False
camelsdk_210089,375.3392405076991,10.930425011238865,1,True,False
camelsdk_210090,11.814402047412596,1.93923721371096,0,False,True
camelsdk_210413,236.94882070869508,8.684650375873986,0,False,True
camelsdk_210446,63.1267215193236,4.482617487804614,0,False,True
camelsdk_210461,1780.5762332076329,23.807037155721087,4,True,False
camelsdk_210467,2563.8065391382925,28.567200907165688,8,True,False
camelsdk_210487,27.426994728539466,2.9547053271696697,0,False,True
camelsdk_210502,100.12084832188197,5.64530387436875,0,False,True
camelsdk_210548,301.70123705780804,9.79971869133904,0,False,True
camelsdk_210665,57.001349494630816,4.2595883686053995,1,True,False
camelsdk_210666,34.96670465587216,3.3362025986490824,1,True,False
camelsdk_210712,53.57234842886261,4.129480370578075,0,False,True
camelsdk_210788,12.5847113057407,2.0014589736954855,0,False,True
camelsdk_210792,30.6965494384658,3.125862306307358,0,False,True
camelsdk_210793,10.91394139134508,1.8638710905252043,0,False,True
camelsdk_210794,229.1972310909464,8.541413497905316,1,True,False
camelsdk_210872,21.875252290779,2.6387703702519416,0,False,True
camelsdk_220048,22.83079993338937,2.695787329943159,0,False,True
camelsdk_220050,82.75007018496858,5.132267084074838,1,True,False
camelsdk_220062,1092.304752136224,18.64648495911482,2,True,False
camelsdk_230055,46.75453533753163,3.8577753721368633,0,False,True
camelsdk_230087,78.27452190412343,4.991548272669729,0,False,True
camelsdk_240001,75.32955036314205,4.896747961899599,0,False,True
camelsdk_240003,26.05841621559565,2.880043662814176,0,False,True
camelsdk_250019,111.58031520570528,5.959623933897133,0,False,True
camelsdk_250020,116.79462767687838,6.0972850222623975,0,False,True
camelsdk_250021,46.3123534431429,3.839489543336497,0,False,True
camelsdk_250075,91.42149554638692,5.39447549277243,0,False,True
camelsdk_250078,619.8572660149429,14.046590183934752,1,True,False
camelsdk_250082,1048.142282751043,18.26565221192233,2,True,False
camelsdk_250086,80.31162279434275,5.0560838116968325,0,False,True
camelsdk_250087,68.18764484883445,4.658841215471208,0,False,True
camelsdk_250090,269.20865049898543,9.25698519497703,0,False,True
camelsdk_250091,77.411882415551,4.963966909737315,0,False,True
camelsdk_250092,64.32627467461104,4.525007090635627,0,False,True
camelsdk_250097,1545.6592548121755,22.181041938515563,2,True,False
camelsdk_250733,29.50932044368896,3.0648178464293174,0,False,True
camelsdk_260037,49.67894412010325,3.976593900387738,0,False,True
camelsdk_260080,322.2224564686048,10.127516647450303,3,True,False
camelsdk_260082,118.1575552666295,6.132757778412237,0,False,True
camelsdk_260096,130.93547244052587,6.455854345473157,1,True,False
camelsdk_270002,39.169616502414165,3.5310163084792148,0,False,True
camelsdk_270003,12.93696320384164,2.0292765422629615,0,False,True
camelsdk_270004,74.6576801533108,4.874861810589733,0,False,True
camelsdk_270021,46.59428121086383,3.851158312643821,0,False,True
camelsdk_270035,84.8859940063394,5.198081481734952,1,True,False
